Id,Route,Group,Length
11,Unnamed route segment,trails,45 mi
168,Unnamed route segment,trails,45 mi
571,Unnamed route segment,trails,45 mi
796,Unnamed route segment,trails,45 mi
791,Unnamed route segment,trails,45 mi
242,Unnamed route segment,trails,45 mi
732,Unnamed route segment,trails,45 mi
48,Unnamed route segment,trails,45 mi
87,Unnamed route segment,trails,45 mi
666,Unnamed route segment,trails,45 mi
563,Unnamed route segment,trails,45 mi
739,Unnamed route segment,trails,45 mi
245,Unnamed route segment,trails,44 mi
493,Unnamed route segment,trails,44 mi
451,Unnamed route segment,trails,44 mi
164,Unnamed route segment,trails,44 mi
523,Unnamed route segment,trails,44 mi
516,Unnamed route segment,trails,44 mi
185,Unnamed route segment,trails,44 mi
141,Unnamed route segment,trails,44 mi
975,Unnamed route segment,trails,44 mi
52,Unnamed route segment,trails,44 mi
924,Unnamed route segment,trails,44 mi
134,Unnamed route segment,trails,44 mi
502,Unnamed route segment,trails,43 mi
430,Unnamed route segment,trails,43 mi
332,Unnamed route segment,trails,43 mi
647,Unnamed route segment,trails,43 mi
378,Unnamed route segment,trails,43 mi
1013,Silvered lane,searoutes,43 mi
691,Unnamed route segment,trails,43 mi
902,Unnamed route segment,trails,43 mi
80,Unnamed route segment,trails,42 mi
317,Unnamed route segment,trails,42 mi
334,Unnamed route segment,trails,42 mi
655,Unnamed route segment,trails,42 mi
470,Unnamed route segment,trails,42 mi
752,Unnamed route segment,trails,42 mi
16,Unnamed route segment,trails,42 mi
772,Unnamed route segment,trails,42 mi
730,Unnamed route segment,trails,42 mi
110,Unnamed route segment,trails,41 mi
96,Unnamed route segment,trails,41 mi
162,Unnamed route segment,trails,41 mi
340,Unnamed route segment,trails,41 mi
442,Unnamed route segment,trails,41 mi
957,Unnamed route segment,trails,41 mi
615,Unnamed route segment,trails,41 mi
578,Unnamed route segment,trails,41 mi
243,Unnamed route segment,trails,41 mi
18,Unnamed route segment,trails,41 mi
607,Unnamed route segment,trails,40 mi
270,Unnamed route segment,trails,40 mi
671,Unnamed route segment,trails,40 mi
50,Unnamed route segment,trails,40 mi
804,Unnamed route segment,trails,40 mi
337,Unnamed route segment,trails,40 mi
799,Unnamed route segment,trails,39 mi
565,Unnamed route segment,trails,39 mi
1012,Unnamed route segment,searoutes,39 mi
190,Unnamed route segment,trails,39 mi
928,Unnamed route segment,trails,39 mi
122,Unnamed route segment,trails,39 mi
239,Unnamed route segment,trails,39 mi
308,Unnamed route segment,trails,39 mi
1004,Unnamed route segment,searoutes,38 mi
573,Unnamed route segment,trails,38 mi
945,Unnamed route segment,trails,38 mi
60,Unnamed route segment,trails,38 mi
915,Unnamed route segment,trails,38 mi
983,Unnamed route segment,searoutes,38 mi
156,Unnamed route segment,trails,38 mi
436,Unnamed route segment,trails,38 mi
847,Unnamed route segment,trails,38 mi
807,Unnamed route segment,trails,37 mi
637,Unnamed route segment,trails,37 mi
623,Unnamed route segment,trails,37 mi
399,Unnamed route segment,trails,37 mi
431,Unnamed route segment,trails,37 mi
766,Unnamed route segment,trails,37 mi
535,Unnamed route segment,trails,37 mi
526,Unnamed route segment,trails,37 mi
116,Unnamed route segment,trails,37 mi
145,Unnamed route segment,trails,37 mi
667,Unnamed route segment,trails,37 mi
247,Unnamed route segment,trails,37 mi
917,Unnamed route segment,trails,37 mi
610,Unnamed route segment,trails,37 mi
326,Unnamed route segment,trails,37 mi
395,Unnamed route segment,trails,37 mi
508,Unnamed route segment,trails,37 mi
359,Unnamed route segment,trails,36 mi
1035,Unnamed route segment,searoutes,36 mi
291,Unnamed route segment,trails,36 mi
130,Unnamed route segment,trails,36 mi
527,Unnamed route segment,trails,36 mi
504,Unnamed route segment,trails,36 mi
765,Unnamed route segment,trails,36 mi
959,Unnamed route segment,trails,36 mi
808,Unnamed route segment,trails,36 mi
372,Unnamed route segment,trails,36 mi
879,Unnamed route segment,trails,36 mi
592,Unnamed route segment,trails,36 mi
97,Unnamed route segment,trails,36 mi
179,Unnamed route segment,trails,36 mi
90,Unnamed route segment,trails,36 mi
167,Unnamed route segment,trails,35 mi
717,Unnamed route segment,trails,35 mi
751,Unnamed route segment,trails,35 mi
14,Unnamed route segment,trails,35 mi
852,Unnamed route segment,trails,35 mi
388,Unnamed route segment,trails,35 mi
499,Unnamed route segment,trails,35 mi
160,Unnamed route segment,trails,35 mi
662,Unnamed route segment,trails,35 mi
154,Unnamed route segment,trails,35 mi
43,Unnamed route segment,trails,35 mi
260,Unnamed route segment,trails,35 mi
318,Unnamed route segment,trails,35 mi
699,Unnamed route segment,trails,35 mi
824,Unnamed route segment,trails,35 mi
629,Unnamed route segment,trails,34 mi
282,Unnamed route segment,trails,34 mi
795,Unnamed route segment,trails,34 mi
37,Unnamed route segment,trails,34 mi
312,Unnamed route segment,trails,34 mi
369,Unnamed route segment,trails,34 mi
800,Unnamed route segment,trails,34 mi
643,Unnamed route segment,trails,34 mi
209,Unnamed route segment,trails,33 mi
314,Unnamed route segment,trails,33 mi
641,Unnamed route segment,trails,33 mi
427,Unnamed route segment,trails,33 mi
810,Unnamed route segment,trails,33 mi
353,Unnamed route segment,trails,33 mi
532,Unnamed route segment,trails,33 mi
825,Unnamed route segment,trails,33 mi
918,Unnamed route segment,trails,33 mi
236,Unnamed route segment,trails,33 mi
23,Unnamed route segment,trails,33 mi
1031,Unnamed route segment,searoutes,32 mi
69,Unnamed route segment,trails,32 mi
979,Unnamed route segment,trails,32 mi
391,Unnamed route segment,trails,32 mi
276,Unnamed route segment,trails,32 mi
235,Unnamed route segment,trails,32 mi
1037,Unnamed route segment,searoutes,32 mi
936,Unnamed route segment,trails,32 mi
112,Unnamed route segment,trails,32 mi
192,Unnamed route segment,trails,32 mi
524,Unnamed route segment,trails,32 mi
538,Unnamed route segment,trails,32 mi
663,Unnamed route segment,trails,32 mi
488,Unnamed route segment,trails,32 mi
570,Unnamed route segment,trails,32 mi
802,Unnamed route segment,trails,32 mi
17,Unnamed route segment,trails,32 mi
729,Unnamed route segment,trails,32 mi
350,Unnamed route segment,trails,32 mi
878,Unnamed route segment,trails,31 mi
743,Unnamed route segment,trails,31 mi
805,Unnamed route segment,trails,31 mi
476,Unnamed route segment,trails,31 mi
228,Unnamed route segment,trails,31 mi
74,Unnamed route segment,trails,31 mi
148,Unnamed route segment,trails,31 mi
387,Unnamed route segment,trails,31 mi
939,Unnamed route segment,trails,31 mi
934,Unnamed route segment,trails,30 mi
366,Unnamed route segment,trails,30 mi
129,Unnamed route segment,trails,30 mi
828,Unnamed route segment,trails,30 mi
952,Unnamed route segment,trails,30 mi
68,Unnamed route segment,trails,30 mi
268,Unnamed route segment,trails,30 mi
690,Unnamed route segment,trails,30 mi
506,Unnamed route segment,trails,30 mi
191,Unnamed route segment,trails,29 mi
492,Unnamed route segment,trails,29 mi
341,Unnamed route segment,trails,29 mi
542,Unnamed route segment,trails,29 mi
406,Unnamed route segment,trails,29 mi
919,Unnamed route segment,trails,28 mi
265,Unnamed route segment,trails,28 mi
302,Unnamed route segment,trails,28 mi
445,Unnamed route segment,trails,28 mi
32,Unnamed route segment,trails,28 mi
137,Unnamed route segment,trails,28 mi
324,Unnamed route segment,trails,28 mi
299,Unnamed route segment,trails,28 mi
180,Unnamed route segment,trails,28 mi
580,Unnamed route segment,trails,28 mi
545,Unnamed route segment,trails,28 mi
511,Unnamed route segment,trails,27 mi
361,Unnamed route segment,trails,27 mi
398,Unnamed route segment,trails,27 mi
385,Unnamed route segment,trails,27 mi
75,Unnamed route segment,trails,27 mi
12,Unnamed route segment,trails,27 mi
749,Unnamed route segment,trails,27 mi
969,Unnamed route segment,trails,27 mi
966,Unnamed route segment,trails,26 mi
159,Unnamed route segment,trails,26 mi
277,Unnamed route segment,trails,26 mi
478,Unnamed route segment,trails,26 mi
309,Unnamed route segment,trails,26 mi
686,Unnamed route segment,trails,26 mi
321,Unnamed route segment,trails,26 mi
433,Unnamed route segment,trails,25 mi
421,Unnamed route segment,trails,25 mi
404,Unnamed route segment,trails,25 mi
987,Unnamed route segment,searoutes,25 mi
432,Unnamed route segment,trails,25 mi
668,Unnamed route segment,trails,25 mi
719,Unnamed route segment,trails,25 mi
121,Unnamed route segment,trails,25 mi
589,Unnamed route segment,trails,25 mi
46,Unnamed route segment,trails,25 mi
155,Unnamed route segment,trails,25 mi
581,Unnamed route segment,trails,25 mi
832,Unnamed route segment,trails,25 mi
338,Unnamed route segment,trails,25 mi
278,Unnamed route segment,trails,24 mi
105,Unnamed route segment,trails,24 mi
438,Unnamed route segment,trails,24 mi
467,Unnamed route segment,trails,24 mi
152,Unnamed route segment,trails,24 mi
977,Unnamed route segment,trails,24 mi
845,Unnamed route segment,trails,24 mi
55,Unnamed route segment,trails,24 mi
1045,Unnamed route segment,searoutes,24 mi
210,Unnamed route segment,trails,24 mi
92,Unnamed route segment,trails,23 mi
120,Unnamed route segment,trails,23 mi
1052,Unnamed route segment,searoutes,23 mi
177,Unnamed route segment,trails,23 mi
285,Unnamed route segment,trails,23 mi
522,Unnamed route segment,trails,23 mi
885,Unnamed route segment,trails,23 mi
298,Unnamed route segment,trails,23 mi
533,Unnamed route segment,trails,23 mi
926,Unnamed route segment,trails,22 mi
596,Unnamed route segment,trails,22 mi
631,Unnamed route segment,trails,22 mi
1047,Unnamed route segment,searoutes,22 mi
485,Unnamed route segment,trails,22 mi
713,Unnamed route segment,trails,22 mi
814,Unnamed route segment,trails,22 mi
1001,Unnamed route segment,searoutes,22 mi
980,Unnamed route segment,trails,22 mi
943,Unnamed route segment,trails,22 mi
1016,Unnamed route segment,searoutes,22 mi
503,Unnamed route segment,trails,22 mi
783,Unnamed route segment,trails,22 mi
1054,Unnamed route segment,searoutes,22 mi
477,Unnamed route segment,trails,22 mi
77,Unnamed route segment,trails,21 mi
874,Unnamed route segment,trails,21 mi
706,Unnamed route segment,trails,21 mi
687,Unnamed route segment,trails,21 mi
846,Unnamed route segment,trails,21 mi
840,Unnamed route segment,trails,21 mi
223,Unnamed route segment,trails,21 mi
1032,Unnamed route segment,searoutes,21 mi
761,Unnamed route segment,trails,20 mi
54,Unnamed route segment,trails,20 mi
700,Unnamed route segment,trails,20 mi
310,Unnamed route segment,trails,20 mi
853,Unnamed route segment,trails,20 mi
281,Unnamed route segment,trails,20 mi
86,Unnamed route segment,trails,19 mi
909,Unnamed route segment,trails,19 mi
147,Unnamed route segment,trails,19 mi
47,Unnamed route segment,trails,19 mi
593,Unnamed route segment,trails,19 mi
386,Unnamed route segment,trails,19 mi
555,Unnamed route segment,trails,19 mi
866,Unnamed route segment,trails,19 mi
384,Unnamed route segment,trails,18 mi
978,Unnamed route segment,trails,18 mi
591,Unnamed route segment,trails,18 mi
854,Unnamed route segment,trails,18 mi
657,Unnamed route segment,trails,18 mi
383,Unnamed route segment,trails,18 mi
968,Unnamed route segment,trails,18 mi
816,Unnamed route segment,trails,18 mi
806,Unnamed route segment,trails,18 mi
813,Unnamed route segment,trails,18 mi
989,Unnamed route segment,searoutes,18 mi
801,Unnamed route segment,trails,18 mi
822,Unnamed route segment,trails,18 mi
624,Unnamed route segment,trails,17 mi
1034,Unnamed route segment,searoutes,17 mi
28,Unnamed route segment,trails,17 mi
66,Unnamed route segment,trails,17 mi
471,Unnamed route segment,trails,17 mi
103,Unnamed route segment,trails,17 mi
132,Unnamed route segment,trails,17 mi
212,Unnamed route segment,trails,16 mi
1036,Unnamed route segment,searoutes,16 mi
128,Unnamed route segment,trails,16 mi
342,Unnamed route segment,trails,16 mi
188,Unnamed route segment,trails,16 mi
740,Unnamed route segment,trails,15 mi
273,Unnamed route segment,trails,15 mi
725,Unnamed route segment,trails,15 mi
830,Unnamed route segment,trails,14 mi
171,Unnamed route segment,trails,14 mi
293,Unnamed route segment,trails,14 mi
203,Unnamed route segment,trails,14 mi
266,Unnamed route segment,trails,14 mi
1041,Unnamed route segment,searoutes,13 mi
1046,Unnamed route segment,searoutes,13 mi
972,Unnamed route segment,trails,12 mi
292,Unnamed route segment,trails,12 mi
1025,Unnamed route segment,searoutes,11 mi
272,Unnamed route segment,trails,11 mi
1011,Unnamed route segment,searoutes,11 mi
758,Unnamed route segment,trails,11 mi
259,Unnamed route segment,trails,10 mi
930,Unnamed route segment,trails,9 mi
831,Unnamed route segment,trails,9 mi
1043,Unnamed route segment,searoutes,8 mi
230,Unnamed route segment,trails,7 mi
619,Unnamed route segment,trails,6 mi
