Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
291,Putumn,Thorngview,Thorngview Shire,Staglenia,Kingdom of Staglenia,Anor (Human),Neverchism,town,4474,317.52,196.52,44.85,-25.64,210,48°F,Copenhagen (Denmark),,,citadel,,,,,{t1:sable;charges:[{charge:saw;t:argent;p:abc;t2:argent;size:0.5}];shield:fantasy5},https://watabou.github.io/city-generator/?name=Putumn&population=4474&size=23&seed=5642600450291&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
292,Bayanbuirman,Tsogtsogt,Tsogtsogt County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Monkhan Sect,town,7365,1379.12,227.72,42.97,38.41,1063,45°F,Montreal (Canada),,,,walls,,,,{t1:pally-or-purpure;division:{division:perCross;t:gules;line:straight};ordinaries:[{ordinary:pale;t:vert;line:straight}];shield:easterling},https://watabou.github.io/city-generator/?name=Bayanbuirman&population=7365&size=28&seed=5642600450292&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
293,Crystice,Britthgro,Britthgro Prefecture,Pudrock,Republic of Pudrock,Dail (Human),Neverchism,town,2604,307.1,347.56,35.74,-26.27,397,55°F,Milan (Italy),,,,,,,,{t1:azure;division:{division:perFess;t:or;line:straight};charges:[{charge:sun;t:argent;p:k;size:0.7};{charge:ploughshare;t:gules;p:n;size:0.7}];shield:roman},https://watabou.github.io/city-generator/?name=Crystice&population=2604&size=19&seed=5642600450293&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
294,Yabedi,Koyu,Koyu Shire,Yaryurt,Yaryurt Horde,Rohand (Human),Neverchism,town,4762,612.2,386.6,33.38,-7.86,30,59°F,Rome (Italy),,,,,,,,{t1:purpure;ordinaries:[{ordinary:pale;t:argent;line:wavy}];charges:[{charge:elephantHeadErased;t:argent;p:y;t2:argent;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Yabedi&population=4762&size=23&seed=5642600450294&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
295,Kindiragz,Aralarak,Aralarak County,Toza,Tozan Empire,Khazadur (Dwarven),Neverchism,village,1363,172.91,609.83,19.92,-34.37,4990,55°F,Milan (Italy),,,,,,,,{t1:or;division:{division:perBend;t:azure;line:straight};ordinaries:[{ordinary:fessCotissed;t:sable;line:straight}];charges:[{charge:snake;t:argent;p:def;t2:argent;size:0.5}];shield:erebor},https://watabou.github.io/village-generator/?pop=1363&name=Kindiragz&seed=5642600450295&width=1400&height=683&style=default&tags=river%2Cisolated%2Cno+square%2Cdense
296,Keresenler,Baydi,Baydi Landgrave,Bocyurt,Beylik of Bocyurt,Rohand (Human),Witnesses of Elloragh,town,2369,742.71,265.66,40.68,0.01,397,50°F,London (England),,,,,plaza,,,{t1:argent;ordinaries:[{ordinary:cross;t:vert;line:escartely}];charges:[{charge:archer;t:vert;p:acgi;t2:vert;t3:sable;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Keresenler&population=2369&size=18&seed=5642600450296&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
297,Skaz'jash,Srash,Srash County,Vuyurt,Vuyurt Khaganate,Aj'Snaga (Serpents),Witnesses of Elloragh,town,4717,952.01,157.46,47.2,12.64,210,45°F,Montreal (Canada),,,,,,,,{t1:sable;ordinaries:[{ordinary:bend;t:argent;line:straight}];charges:[{charge:annulet;t:azure;p:e;size:0.7}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Skaz%27jash&population=4717&size=23&seed=5642600450297&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
298,Ozok,Dozokuzka,Dozokuzka Earldom,Yaryurt,Yaryurt Horde,Rohand (Human),Neverchism,town,6033,519.1,351.8,35.48,-13.48,30,57°F,Washington (D.C.),,,,,,,,{t1:argent;charges:[{charge:pegasus;t:azure;p:e;t2:azure;t3:azure;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Ozok&population=6033&size=26&seed=5642600450298&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
299,Rezgmod,Lulzug,Lulzug Shire,Bocyurt,Beylik of Bocyurt,Uruk (Orkish),Neverchism,town,2967,743.73,144.63,47.98,0.07,1736,37°F,Tromsø (Norway),,,,,,,,{t1:purpure;charges:[{charge:crossBottony;t:or;p:e;size:1.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Rezgmod&population=2967&size=20&seed=5642600450299&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
300,Khizdin,Shavagu,Shavagu County,Toza,Tozan Empire,Yotunn (Giants),Witnesses of Elloragh,town,2190,1109.34,738.77,12.15,22.13,4990,61°F,Dubrovnik (Croatia),,,,,,,,{t1:masoned-argent-purpure;division:{division:perPile;t:chequy-or-sable;line:straight};charges:[{charge:crescent;t:gules;p:e;size:0.7}];shield:pavise},https://watabou.github.io/city-generator/?name=Khizdin&population=2190&size=17&seed=5642600450300&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
301,Bozgga,Qiccoz,Qiccoz County,Staglenia,Kingdom of Staglenia,Uruk (Orkish),Neverchism,village,1522,345.01,57.31,53.24,-23.98,738,37°F,Tromsø (Norway),,,,,,,,{t1:vert;charges:[{charge:crossHummetty;t:or;p:e;size:1.5}];shield:urukHai},https://watabou.github.io/village-generator/?pop=1522&name=Bozgga&seed=5642600450301&width=1600&height=780&style=snow&tags=isolated%2Cno+square%2Cdense
302,Morbrol,Nudh,Nudh Margrave,Staglenia,Kingdom of Staglenia,Uruk (Orkish),Neverchism,town,4134,387.75,84.59,51.6,-21.4,643,39°F,Reykjavik (Iceland),,,,,plaza,,,{t1:bendy-or-purpure;charges:[{charge:lionHeadCaboshed;t:azure;p:e;t2:azure;size:1.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Morbrol&population=4134&size=22&seed=5642600450302&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
303,Sarprak,Ser,Ser County,Yaryurt,Yaryurt Horde,Rohand (Human),Neverchism,town,9365,556.62,282.01,39.69,-11.22,397,52°F,Antwerp (Belgium),,,citadel,,,,,{t1:or;charges:[{charge:arbalest;t:gules;p:e;t2:vert;t3:sable;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Sarprak&population=9365&size=30&seed=5642600450303&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
304,Castmeaven,Shimberg,Shimberg Prefecture,Pudrock,Republic of Pudrock,Dail (Human),Arcanum of the Forefather of Love,village,819,238.4,305.22,38.29,-30.42,2759,45°F,Montreal (Canada),,,,,,,,{t1:argent;charges:[{charge:key;t:gules;p:e;size:1.5}];shield:roman},https://watabou.github.io/village-generator/?pop=819&name=Castmeaven&seed=5642600450304&width=1000&height=488&style=default&tags=dead+end%2Cno+square%2Cdense
305,Khalh,Bulanbogdlon,Bulanbogdlon County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Witnesses of Elloragh,village,945,1339.26,392.71,33.02,36.01,4492,45°F,Montreal (Canada),,,,walls,,,,{t1:or;ordinaries:[{ordinary:cross;t:gules;line:engrailed}];charges:[{charge:cancer;t:or;p:e;size:0.5}];shield:easterling},https://watabou.github.io/village-generator/?pop=945&name=Khalh&seed=5642600450305&width=1000&height=488&style=default&tags=dead+end%2Cfarmland%2Cno+square%2Cpalisade%2Cdense
306,Alpkoy,Khankhania,Khankhania County,Sarprakeli,Sarprakelian Khaganate,Rohand (Human),Witnesses of Elloragh,town,2542,1079.7,299,38.67,20.35,13,54°F,Paris (France),,,,,,,,{t1:argent;charges:[{charge:wasp;t:sable;p:e;t2:sable;t3:gules;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Alpkoy&population=2542&size=18&seed=5642600450306&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
307,Kor Okut,New Koyu,New Koyu Colony,Yaryurt,Yaryurt Horde,Rohand (Human),Neverchism,village,1120,571.98,492.9,26.97,-10.29,13,66°F,Marrakesh (Morocco),,,,,,,,{t1:purpure;charges:[{charge:roundel;t:argent;p:jln;size:0.7}];shield:round},https://watabou.github.io/village-generator/?pop=1120&name=Kor+Okut&seed=5642600450307&width=1400&height=683&style=default&tags=isolated%2Cno+square%2Cdense
308,Yekerese,Erteki,Erteki Landgrave,Bocyurt,Beylik of Bocyurt,Rohand (Human),Witnesses of Elloragh,town,7067,740.34,276.46,40.03,-0.13,210,54°F,Paris (France),,,,,plaza,,,{t1:pally-argent-gules;division:{division:perSaltire;t:purpure};shield:round},https://watabou.github.io/city-generator/?name=Yekerese&population=7067&size=27&seed=5642600450308&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
309,Celerin,Thyvenath,Thyvenath Barony,Onimydrait,Kingdom of Onimydrait,Eldar (Elfish),Witnesses of Elloragh,town,3588,1312.84,700.08,14.48,34.41,4019,64°F,Barcelona (Spain),,,citadel,,,,,{t1:argent;division:{division:perPale;t:gules;line:wavy};charges:[{charge:anvil;t:purpure;p:p;size:0.7};{charge:crossCercelee;t:or;p:q;size:0.7}];shield:noldor},https://watabou.github.io/city-generator/?name=Celerin&population=3588&size=21&seed=5642600450309&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
310,Britthgro,Britthgro,Britthgro Prefecture,Pudrock,Republic of Pudrock,Dail (Human),Arcanum of the Forefather of Love,town,8874,253.86,308.73,38.08,-29.48,4019,41°F,Harbin (China),,,,,,,,{t1:vert;charges:[{charge:bell;t:or;p:e;t2:or;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Britthgro&population=8874&size=30&seed=5642600450310&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
311,Badehale,Irdud,Irdud County,Staglenia,Kingdom of Staglenia,Anor (Human),Neverchism,village,1333,509.78,210.09,44.03,-14.04,643,46°F,Prague (Czechia),,,,,,,,{t1:gules;charges:[{charge:fleurDeLis;t:argent;p:e;size:1.5}];shield:fantasy5},https://watabou.github.io/village-generator/?pop=1333&name=Badehale&seed=5642600450311&width=1400&height=683&style=default&tags=dead+end%2Cno+square%2Cdense
312,Shargemagaan,Ayandalia,Ayandalia County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Monkhan Sect,village,1160,1367.37,136.88,48.44,37.7,397,43°F,Stockholm (Sweden),,,,,,,,{t1:azure;ordinaries:[{ordinary:bar;t:argent;line:potentyDexter}];charges:[{charge:crescent;t:argent;p:jlh;size:0.7}];shield:easterling},https://watabou.github.io/village-generator/?pop=1160&name=Shargemagaan&seed=5642600450312&width=1400&height=683&style=default&tags=confluence%2Cdead+end%2Cno+square%2Cdense
313,Sral'ar,Srash,Srash County,Vuyurt,Vuyurt Khaganate,Aj'Snaga (Serpents),Witnesses of Elloragh,town,4415,945.8,145.29,47.94,12.27,397,43°F,Stockholm (Sweden),,,,,,,,{t1:argent;ordinaries:[{ordinary:fess;t:vert;line:straight}];charges:[{charge:dragonPassant;t:argent;p:def;t2:argent;t3:argent;size:0.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Sral%27ar&population=4415&size=23&seed=5642600450313&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
314,Torilwed,Dugkizdara,Dugkizdara County,Toza,Tozan Empire,Yotunn (Giants),Yotunn (Giants)ism,town,6851,570.34,603.89,20.28,-10.39,210,75°F,Dakar (Senegal),,,,,,,,{t1:pally-argent-sable;ordinaries:[{ordinary:bend;t:azure;line:straight}];charges:[{charge:lizard;t:purpure;p:c;size:0.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Torilwed&population=6851&size=27&seed=5642600450314&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
315,Topkoybur,Buyurt,Buyurt County,Yaryurt,Yaryurt Horde,Rohand (Human),Neverchism,city,13776,619.27,359.07,35.04,-7.44,30,59°F,Rome (Italy),,port,,walls,plaza,,,{t1:gules;ordinaries:[{ordinary:pallReversed;t:argent}];charges:[{charge:pegasus;t:gules;p:bemo;t2:gules;t3:argent;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Topkoybur&population=13776&size=35&seed=5642600450315&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=0.95
316,Ayaykutlu,Erbeynakyurt,Erbeynakyurt County,Sarprakeli,Sarprakelian Khaganate,Rohand (Human),Rohand (Human) Faith,city,14041,1209.12,406.69,32.17,28.15,554,59°F,Rome (Italy),,,,,plaza,,,{t1:argent;division:{division:perPale;t:gules;line:straight};charges:[{charge:lyre;t:azure;p:e;divided:field;size:1.5};{charge:lionRampant;t:or;p:e;divided:division;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Ayaykutlu&population=14041&size=35&seed=5642600450316&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
317,Bayan,Bogdia,Bogdia County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Dulandir (Human) Druids,town,5183,1446.9,103.1,50.48,42.5,13,41°F,Harbin (China),,,,,,,,{t1:vert;charges:[{charge:spear;t:or;p:e;t2:or;size:1.5}];shield:easterling},https://watabou.github.io/city-generator/?name=Bayan&population=5183&size=24&seed=5642600450317&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
318,Jarhanzadma,Denia,Denia County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Monkhan Sect,town,5601,1354.18,115.25,49.75,36.91,118,43°F,Stockholm (Sweden),,,,,plaza,,,{t1:or;charges:[{charge:bridge;t:vert;p:e;size:1.5}];shield:easterling},https://watabou.github.io/city-generator/?name=Jarhanzadma&population=5601&size=25&seed=5642600450318&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
319,Bopuztop,Sazdeperev,Sazdeperev Shire,Bocyurt,Beylik of Bocyurt,Rohand (Human),Neverchism,village,1086,712.79,274.39,40.15,-1.79,210,54°F,Paris (France),,,,,,,,{t1:bendy-argent-sable;division:{division:perPale;t:purpure;line:straight};ordinaries:[{ordinary:cross;t:gules;line:straight}];shield:round},https://watabou.github.io/village-generator/?pop=1086&name=Bopuztop&seed=5642600450319&width=1400&height=683&style=default&tags=highway%2Cno+square%2Cdense
320,Tsarudgad,Ureia,Ureia County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Witnesses of Elloragh,village,891,1296.04,462.16,28.83,33.4,2392,54°F,Paris (France),,,,,,,,{t1:purpure;charges:[{charge:portcullis;t:or;p:e;t2:argent;size:1.5}];shield:easterling},https://watabou.github.io/village-generator/?pop=891&name=Tsarudgad&seed=5642600450320&width=1000&height=488&style=default&tags=isolated%2Cno+square%2Cdense
321,Kolukk,Maragz,Maragz County,Vuyurt,Vuyurt Khaganate,Yotunn (Giants),Witnesses of Elloragh,village,1451,891.47,602.42,20.37,8.99,30,75°F,Dakar (Senegal),,,,walls,,,,{t1:purpure;charges:[{charge:escallop;t:or;p:jln;size:0.7}];shield:pavise},https://watabou.github.io/village-generator/?pop=1451&name=Kolukk&seed=5642600450321&width=1400&height=683&style=default&tags=estuary%2Chighway%2Cno+square%2Cpalisade%2Cdense
322,Natalfald,Natalfald,Natalfald County,Toza,Tozan Empire,Yotunn (Giants),Yotunn (Giants)ism,city,15483,611.71,529.11,24.79,-7.89,13,70°F,Tegucigalpa (Honduras),,,,walls,plaza,,,{t1:bendySinister-gules-argent;ordinaries:[{ordinary:chevronReversed;t:or}];shield:pavise},https://watabou.github.io/city-generator/?name=Natalfald&population=15483&size=37&seed=5642600450322&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
323,Doguztopse,Bocano,Bocano County,Yaryurt,Yaryurt Horde,Rohand (Human),Neverchism,village,1029,608.91,291.56,39.12,-8.06,643,52°F,Antwerp (Belgium),,,citadel,walls,,,,{t1:purpure;charges:[{charge:cannon;t:argent;p:e;t2:argent;size:1.5}];shield:round},https://watabou.github.io/village-generator/?pop=1029&name=Doguztopse&seed=5642600450323&width=1400&height=683&style=default&tags=highway%2Cfarmland%2Cno+square%2Cpalisade%2Cdense
324,Rhishi,Ranch,Ranch County,Toza,Tozan Empire,Arago (Arachnid),Neverchism,town,6019,184.87,350.7,35.55,-33.65,4252,43°F,Stockholm (Sweden),,,,,,,,{t1:purpure;division:{division:perPile;t:argent;line:potenty};charges:[{charge:mullet;t:or;p:abc;size:0.4}];shield:horsehead2},https://watabou.github.io/city-generator/?name=Rhishi&population=6019&size=26&seed=5642600450324&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
325,Isnex,Qhaiqashu,Qhaiqashu Margrave,Toza,Tozan Empire,Arago (Arachnid),Arago (Arachnid) Druidism,village,840,77.06,443.06,29.98,-40.15,6644,41°F,Harbin (China),,,,,,,,{t1:or;ordinaries:[{ordinary:point;t:purpure}];charges:[{charge:inescutcheon;t:sable;p:def;size:0.5}];shield:horsehead2},https://watabou.github.io/village-generator/?pop=840&name=Isnex&seed=5642600450325&width=1000&height=488&style=snow&tags=river%2Cdead+end%2Cno+square%2Cdense
326,Elleanle,Thyvenath,Thyvenath Barony,Onimydrait,Kingdom of Onimydrait,Eldar (Elfish),Witnesses of Elloragh,village,1057,1365.27,683.75,15.46,37.58,2759,64°F,Barcelona (Spain),,,,,,,,{t1:vert;division:{division:chevronny;t:argent};ordinaries:[{ordinary:cross;t:or;line:straight;divided:counter}];shield:noldor},https://watabou.github.io/village-generator/?pop=1057&name=Elleanle&seed=5642600450326&width=1400&height=683&style=default&tags=river%2Cdead+end%2Cno+square%2Cdense
327,Ipjagis,Skala,Skala Earldom,Vuyurt,Vuyurt Khaganate,Aj'Snaga (Serpents),Witnesses of Elloragh,city,10694,934.2,220.8,43.38,11.57,30,50°F,London (England),,,,walls,plaza,,,{t1:or;division:{division:perFess;t:sable;line:straight};charges:[{charge:lionPassantGuardant;t:azure;p:e;t2:azure;t3:vert;divided:field;size:1.5};{charge:bridge2;t:argent;p:e;divided:division;size:1.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Ipjagis&population=10694&size=32&seed=5642600450327&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
328,Arabere,Bozbayurt,Bozbayurt County,Sarprakeli,Sarprakelian Khaganate,Rohand (Human),Rohand (Human) Faith,city,15372,1088.2,397.9,32.7,20.86,13,61°F,Dubrovnik (Croatia),,,citadel,,plaza,,,{t1:gules;division:{division:perPile;t:argent;line:straight};charges:[{charge:wolfHeadErased;t:or;p:be;t2:or;divided:counter;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Arabere&population=15372&size=36&seed=5642600450328&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
329,Scorcross,Boseden,Boseden Earldom,Grirongria,Duchy of Grirongria,Dail (Human),Neverchism,town,6583,532.96,273.19,40.22,-12.64,397,52°F,Antwerp (Belgium),,,,,,,,{t1:azure;charges:[{charge:castle2;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Scorcross&population=6583&size=26&seed=5642600450329&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
330,Chol,Sir,Sir County,Toza,Tozan Empire,Arago (Arachnid),Arago (Arachnid) Druidism,town,3616,23.35,729.78,12.69,-43.39,4738,59°F,Rome (Italy),,,,,,,,{t1:azure;division:{division:chevronny;t:or};charges:[{charge:sunInSplendour;t:argent;p:e;divided:counter;size:1.5}];shield:horsehead2},https://watabou.github.io/city-generator/?name=Chol&population=3616&size=21&seed=5642600450330&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
331,Ikhkhan,Balan,Balan County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Witnesses of Elloragh,village,1117,1230.97,249.98,41.62,29.47,1063,48°F,Copenhagen (Denmark),,,,,,,,{t1:sable;ordinaries:[{ordinary:cross;t:argent;line:straight}];charges:[{charge:shears;t:gules;p:beh;size:0.3}];shield:easterling},https://watabou.github.io/village-generator/?pop=1117&name=Ikhkhan&seed=5642600450331&width=1400&height=683&style=default&tags=highway%2Cfarmland%2Cno+square%2Cdense
332,Kopurabey,Yepeli,Yepeli District,Sazyurt,Republic of Sazyurt,Rohand (Human),Witnesses of Elloragh,village,1705,1004.57,199.74,44.65,15.81,210,48°F,Copenhagen (Denmark),,,,,,,,{t1:azure;ordinaries:[{ordinary:fessCotissed;t:argent;line:invecked}];charges:[{charge:tower;t:azure;p:def;t2:azure;size:0.5}];shield:round},https://watabou.github.io/village-generator/?pop=1705&name=Kopurabey&seed=5642600450332&width=1600&height=780&style=default&tags=highway%2Cno+square%2Cdense
333,Ozuzaburu,Batilwo,Batilwo County,Toza,Tozan Empire,Yotunn (Giants),Yotunn (Giants)ism,village,481,503.2,709.44,13.91,-14.44,554,77°F,Miami (USA),,,,,,,,{t1:argent;ordinaries:[{ordinary:quarter;t:vert}];shield:pavise},https://watabou.github.io/village-generator/?pop=481&name=Ozuzaburu&seed=5642600450333&width=800&height=390&style=default&tags=dead+end%2Cfarmland%2Cno+square%2Cdense
334,Ertekeniz,Buyurt,Buyurt County,Ortarith,Duchy of Ortarith,Rohand (Human),Witnesses of Elloragh,city,26277,1080.11,480.87,27.7,20.37,210,66°F,Marrakesh (Morocco),,,,walls,plaza,,,{t1:azure;charges:[{charge:orb;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Ertekeniz&population=26277&size=45&seed=5642600450334&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
335,Yakardemse,Araoklyurt,Araoklyurt Earldom,Vuyurt,Vuyurt Khaganate,Rohand (Human),Witnesses of Elloragh,city,14725,866.74,219.44,43.47,7.5,30,50°F,London (England),,port,,,plaza,,,{t1:argent;ordinaries:[{ordinary:cross;t:azure;line:straight}];charges:[{charge:lyre;t:argent;p:beh;size:0.3}];shield:round},https://watabou.github.io/city-generator/?name=Yakardemse&population=14725&size=36&seed=5642600450335&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.98
336,Scorchill,Knighia,Knighia County,Staglenia,Kingdom of Staglenia,Anor (Human),Neverchism,village,1459,415.65,166.07,46.68,-19.72,210,46°F,Prague (Czechia),,,,,,,,{t1:gules;charges:[{charge:crocodile;t:argent;p:e;t2:argent;size:1.5}];shield:fantasy5},https://watabou.github.io/village-generator/?pop=1459&name=Scorchill&seed=5642600450336&width=1400&height=683&style=default&tags=confluence%2Cdead+end%2Cuncultivated%2Cno+square%2Cdense
337,Boseden,Boseden,Boseden Earldom,Grirongria,Duchy of Grirongria,Dail (Human),Neverchism,city,11931,502.34,260.28,41,-14.49,472,50°F,London (England),,,,,plaza,,,{t1:or;ordinaries:[{ordinary:fess;t:gules;line:rayonne}];charges:[{charge:inescutcheon;t:or;p:def;size:0.5};{charge:trianglePierced;t:sable;p:def;size:0.25}];shield:roman},https://watabou.github.io/city-generator/?name=Boseden&population=11931&size=33&seed=5642600450337&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
338,Lostswind,Dirtspidia,Dirtspidia Prefecture,Pudrock,Republic of Pudrock,Dail (Human),Arcanum of the Forefather of Love,town,7730,363.3,292.7,39.05,-22.88,210,54°F,Paris (France),,,,,,,,{t1:or;charges:[{charge:arrowsSheaf;t:gules;p:e;t2:purpure;t3:gules;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Lostswind&population=7730&size=28&seed=5642600450338&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
339,Grinevaken,Iremia,Iremia Landgrave,Staglenia,Kingdom of Staglenia,Anor (Human),Neverchism,town,3067,325.75,148.4,47.75,-25.15,1063,41°F,Harbin (China),,,,,,,,{t1:bendy-argent-azure;ordinaries:[{ordinary:pileInBend;t:sable}];charges:[{charge:grapeBunch;t:argent;p:e;t2:argent;t3:argent;size:0.5}];shield:fantasy5},https://watabou.github.io/city-generator/?name=Grinevaken&population=3067&size=20&seed=5642600450339&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
340,Tulde,Ginez,Ginez County,Toza,Tozan Empire,Yotunn (Giants),Yotunn (Giants)ism,village,1198,604.07,609.28,19.95,-8.35,210,75°F,Dakar (Senegal),,,,,,,,{t1:sable;division:{division:perFess;t:argent;line:seaWaves};ordinaries:[{ordinary:bendSinister;t:or;line:potentySinister}];shield:pavise},https://watabou.github.io/village-generator/?pop=1198&name=Tulde&seed=5642600450340&width=1400&height=683&style=default&tags=estuary%2Chighway%2Cno+square%2Cdense
341,Numunz,Nunulbi,Nunulbi Dependency,Toza,Tozan Empire,Khazadur (Dwarven),Khazadur (Dwarven) Deities,village,1042,262.74,743.26,11.87,-28.95,3573,66°F,Marrakesh (Morocco),,,,,,,,{t1:or;charges:[{charge:inescutcheon;t:purpure;p:e;size:1.5}];shield:erebor},https://watabou.github.io/village-generator/?pop=1042&name=Numunz&seed=5642600450341&width=1400&height=683&style=default&tags=highway%2Cno+square%2Cdense
342,Tulan,Ergontal,Ergontal County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Monkhan Sect,town,2242,1476.09,164.62,46.77,44.26,210,46°F,Prague (Czechia),,,,,,,,{t1:semy_of_estoile-azure-argent-smaller;charges:[{charge:mullet7;t:or;p:e;size:1.5}];shield:easterling},https://watabou.github.io/city-generator/?name=Tulan&population=2242&size=18&seed=5642600450342&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
